comparison,metric,direction,mean_improvement,ci_low,ci_high,sign_test_p,win_rate
full_vs_fixed,composite_score,higher,0.8106521425702804,0.2574270805955523,1.2708817279265767,9.53025294018093e-26,0.9416666666666667
full_vs_fixed,rescue_success,higher,0.0052537841831226395,0.0020930182184790342,0.007832620393729858,9.53025294018093e-26,0.9416666666666667
full_vs_fixed,formation_error,lower,0.8124580108384362,0.769226280456537,0.8536054958590558,1.8206056505535589e-34,0.9916666666666667
full_vs_fixed,violation_rate,lower,0.01871468170774522,0.017455240114072835,0.019916097882195203,2.9954333738275177e-28,0.9583333333333334
full_vs_fixed,communication_load,lower,-0.7196000000000004,-0.9380000000000003,-0.5376000000000004,3.009265538105056e-36,0.0
full_vs_rl,composite_score,higher,1.2527897561651242,0.6330773402546122,1.8091476056605658,1.4958728419663173e-19,0.8916666666666667
full_vs_rl,rescue_success,higher,0.00807809531480789,0.004482733190572718,0.01132073428461576,1.4958728419663173e-19,0.8916666666666667
full_vs_rl,formation_error,lower,0.8060244190020529,0.7613517269354715,0.8499866100673787,1.8206056505535589e-34,0.9916666666666667
full_vs_rl,violation_rate,lower,0.01902503246841443,0.017672070933744965,0.020260272044711432,2.9954333738275177e-28,0.9583333333333334
full_vs_rl,communication_load,lower,-1.366266666666667,-1.5513333333333335,-1.2104000000000001,1.504632769052528e-36,0.0
