method,regime,mission_time,rescue_success,formation_error,communication_load,violation_rate,reward,composite_score,failure_type
fixed_rule,standard,24.907234432209705,0.2535628676731977,3.5063847404385844,7.2,0.15699207846988192,-6.228015842501408,25.561212594039155,uav_loss
rl_only,standard,25.58134353827108,0.2530729895554326,3.5001312398246314,7.140000000000001,0.15693288195521735,-6.537727604966688,25.422889608481174,uav_loss
llm_rule_only,standard,26.229676236724732,0.24258628801551874,3.4943439807201644,6.96,0.1584834345013053,-6.5856748513155425,23.964934079334917,uav_loss
full_stack,standard,26.652166308971676,0.25332756486060204,3.1339709281189427,7.330800000000001,0.1488366230488651,-5.061262514198029,25.59183443508046,uav_loss
fixed_rule,stress,45.71233811558134,0.09481415643225927,4.423093479590605,7.2,0.3103533368253799,-18.59198975194442,-0.654083018389606,uav_loss
rl_only,stress,45.538249811426255,0.09572250272581313,4.418494892319717,7.16,0.3101068324984518,-18.504451457270203,-0.5070608202994755,uav_loss
llm_rule_only,stress,45.71233811558134,0.09481415643225927,4.423093479590605,7.2,0.3103533368253799,-29.874827219283606,-0.654083018389606,uav_loss
full_stack,stress,50.469958836459455,0.0993229184925483,3.6857567435163707,6.468800000000001,0.2934105267021005,-27.03649617751512,-0.039259997212392705,uav_loss
fixed_rule,standard,24.347105920086058,0.25891578106927315,3.5326454710482373,5.4,0.1567133483999222,-5.3560456713389435,26.410132642529703,usv_loss
rl_only,standard,24.708567543926954,0.2597495525833994,3.5378137735080504,5.355,0.1566936476117779,-5.543004723534479,26.475943252830866,usv_loss
llm_rule_only,standard,25.18205485433779,0.2517241998400903,3.520095383318329,5.220000000000001,0.15758789946653348,-5.432314440557021,25.37268382213219,usv_loss
full_stack,standard,25.48080945302389,0.26230891721504573,3.1614410113270117,5.498100000000001,0.14800394850273163,-3.9085734102338243,26.996981676579455,usv_loss
fixed_rule,stress,44.30744982168976,0.09854466238999189,4.536174566422349,5.4,0.3122442397824411,-17.914105845493598,0.015854717764413717,usv_loss
rl_only,stress,44.32958713375959,0.09847329900631219,4.538267169131128,5.37,0.312301695183423,-17.919610378986217,0.0036543922719260435,usv_loss
llm_rule_only,stress,44.30744982168976,0.09854466238999189,4.536174566422349,5.4,0.3122442397824411,-29.59647599871319,0.015854717764413717,usv_loss
full_stack,stress,48.086420067917075,0.1054789579264493,3.7668181058116192,4.851600000000001,0.2942089103631718,-26.226737841863226,1.085167398717202,usv_loss
